RT_ID,SN_B,STOP_CD_B,SN_E,STOP_CD_E,DIST,LMT_SPD
12OMA,1,ESTAMAJ,2.0,MERMACA,558.0,60.0
12OMA,2,MERMACA,3.0,C12CH3A,746.0,40.0
12OMA,3,C12CH3A,4.0,CAHCH4A,945.0,30.0
12OMA,4,CAHCH4A,5.0,EJMCH3A,1195.0,30.0
12OMA,5,EJMCH3A,6.0,PAQSANA,1422.0,30.0
12OMA,6,PAQSANA,7.0,SAEDESA,1651.0,40.0
12OMA,7,SAEDESA,8.0,AVBCE3A,1837.0,40.0
12OMA,8,AVBCE3A,9.0,MELCHCA,2092.0,40.0
12OMA,9,MELCHCA,10.0,GIMMARA,2385.0,40.0
12OMA,10,GIMMARA,11.0,ESTAMAJ,3088.0,40.0
ACNAL-I,1,EALCDIA,2.0,CESAZ3A,184.0,30.0
ACNAL-I,2,CESAZ3A,3.0,CJGAZ3A,619.0,30.0
ACNAL-I,3,CJGAZ3A,4.0,BOMAZ3A,938.0,30.0
ACNAL-I,4,BOMAZ3A,5.0,CTAAZ3A,1217.0,30.0
ACNAL-I,5,CTAAZ3A,6.0,IGLAZ3A,1444.0,30.0
ACNAL-I,6,IGLAZ3A,7.0,CORAZ3A,1684.0,30.0
ACNAL-I,7,CORAZ3A,8.0,OLAAZ3A,1907.0,20.0
ACNAL-I,8,OLAAZ3A,9.0,LIVAZ3A,2160.0,20.0
ACNAL-I,9,LIVAZ3A,10.0,ALTAZ3A,2403.0,20.0
ACNAL-I,10,ALTAZ3A,11.0,GRIAZ3A,2550.0,20.0
ACNAL-I,11,GRIAZ3A,12.0,CA7AZ3A,3038.0,20.0
ACNAL-I,12,CA7AZ3A,13.0,C4BCB1A,3440.0,40.0
ACNAL-I,13,C4BCB1A,14.0,MELCB1A,4000.0,30.0
ACNAL-I,14,MELCB1A,15.0,JUDCB1A,4390.0,40.0
ACNAL-I,15,JUDCB1A,16.0,MOCON1A,4725.0,60.0
ACNAL-I,16,MOCON1A,17.0,ECATK4A,5186.0,60.0
ACNAL-I,17,ECATK4A,18.0,CABTK1A,5452.0,60.0
ACNAL-I,18,CABTK1A,19.0,FLOTK1A,5946.0,60.0
