Numero de Autobus,Venta Total Centecimos
15008,827875
15508,350650
15023,337000
15022,306600
15524,297100
15518,205625
15013,185500
15525,180275
15526,132875
15513,112175
15512,107425
15519,102550
15511,82575
15515,71475
15517,68925
15509,65350
15015,65000
2103,59400
2086,57125
15521,53625
15510,49000
15021,46250
15017,44050
2017,35800
2186,27600
2012,26725
649,26550
2161,26400
2052,26300
1042,25950
2088,25925
2196,25725
2054,25700
375,25650
15516,25225
2112,25200
209,24900
2147,24850
2198,24500
2140,24450
1093,24450
884,24375
407,24300
542,24275
2092,24175
808,24150
822,23875
868,23750
177,23700
981,23625
7,23600
778,23525
2117,23425
2162,23275
534,23200
2171,23125
747,23100
233,23000
1140,22925
2093,22875
100,22825
5,22750
636,22725
405,22725
1053,22700
299,22650
761,22600
387,22425
527,22350
2053,22200
13,22200
2058,22125
590,22100
471,22025
136,22000
710,21975
91,21975
2188,21950
141,21950
678,21875
2083,21825
2145,21725
219,21700
2122,21675
221,21650
2034,21600
455,21600
1073,21575
1220,21475
1164,21425
531,21425
337,21400
277,21400
90,21400
1075,21375
1058,21375
834,21275
578,21250
454,21250
499,21225
267,21200
157,21200
1052,21100
930,21075
2125,21000
1142,20925
1019,20925
1025,20875
2108,20850
1072,20825
708,20800
424,20800
1057,20775
316,20775
726,20725
836,20700
793,20650
1172,20600
891,20600
123,20600
356,20550
345,20550
252,20525
2066,20500
1038,20500
744,20475
565,20475
477,20475
1068,20450
318,20375
1087,20350
519,20325
1130,20300
365,20300
912,20250
258,20250
1145,20200
101,20200
311,20175
2047,20125
1108,20100
997,20100
781,20100
969,20050
355,20025
450,19950
174,19900
634,19850
342,19850
25,19825
1136,19725
925,19725
2062,19700
576,19700
154,19675
2118,19650
1047,19650
323,19650
520,19600
964,19550
629,19550
663,19525
568,19525
1144,19500
212,19475
2025,19400
389,19350
606,19325
202,19325
973,19300
657,19300
1198,19275
1221,19250
690,19250
813,19225
368,19225
67,19225
1081,19200
1179,19175
2003,19150
586,19150
1013,19125
794,19100
1170,19075
563,19050
39,19050
2079,19025
1155,19000
2043,18975
743,18950
2028,18925
795,18925
234,18875
22,18875
245,18850
131,18850
2120,18825
1097,18825
552,18825
792,18775
486,18775
24,18775
872,18750
749,18750
191,18750
106,18750
1126,18700
810,18700
303,18700
2190,18675
862,18650
458,18650
1185,18625
844,18625
814,18625
338,18625
2127,18575
165,18575
47,18575
2063,18525
1031,18525
415,18525
511,18500
296,18500
59,18500
2157,18475
600,18475
78,18475
820,18450
226,18425
703,18400
27,18400
315,18375
540,18350
587,18325
327,18300
189,18300
876,18250
144,18250
988,18225
967,18225
42,18225
2075,18125
543,18125
391,18125
731,18100
809,18075
521,18075
254,18075
242,18075
394,18050
379,18050
276,18000
192,18000
727,17975
518,17975
349,17975
1171,17950
1189,17925
381,17925
1214,17900
683,17900
478,17900
907,17875
1158,17850
472,17850
1114,17825
949,17825
691,17825
1117,17800
1208,17775
1010,17775
362,17775
86,17750
888,17700
288,17700
1213,17675
1184,17675
730,17675
573,17675
196,17675
1107,17650
76,17650
2149,17625
702,17625
80,17625
763,17600
384,17600
322,17600
1067,17550
364,17550
841,17500
830,17500
35,17450
1137,17425
916,17425
2123,17400
2031,17400
514,17400
462,17400
317,17400
135,17375
85,17375
1100,17350
807,17350
733,17350
164,17350
2067,17325
1085,17325
1003,17325
789,17300
2172,17275
445,17275
769,17250
865,17225
775,17225
1074,17200
910,17200
660,17200
297,17175
816,17150
2158,17125
1177,17125
933,17125
329,17125
1020,17100
1197,17075
1163,17075
491,17075
2194,17050
2072,17050
915,17050
397,17025
2107,17000
791,17000
780,17000
476,17000
826,16975
670,16975
366,16975
280,16975
2068,16950
760,16950
926,16925
859,16925
737,16925
650,16925
605,16925
767,16900
2090,16875
21,16875
550,16850
539,16850
960,16825
589,16825
179,16825
2142,16750
1199,16750
1181,16750
1132,16725
460,16725
160,16725
72,16725
66,16725
64,16700
2136,16675
682,16675
672,16675
347,16650
2139,16625
1178,16625
1043,16625
722,16625
544,16625
970,16600
1166,16575
1011,16575
671,16575
577,16575
173,16550
1046,16500
172,16500
10,16500
986,16475
2178,16450
1152,16425
510,16400
353,16400
151,16400
1168,16375
802,16375
176,16375
40,16375
1150,16350
754,16350
1014,16325
351,16325
341,16325
330,16325
163,16325
689,16300
65,16300
848,16275
612,16250
944,16225
490,16225
168,16225
31,16225
2143,16200
1209,16200
2049,16175
825,16175
289,16175
838,16150
383,16150
1229,16135
842,16125
1203,16100
696,16100
560,16100
422,16075
882,16050
121,16050
993,16025
308,16025
1225,16000
638,15950
595,15950
399,15925
340,15925
1212,15900
1165,15900
1121,15900
147,15900
63,15900
963,15875
892,15875
889,15850
771,15850
104,15850
2101,15800
653,15800
551,15775
735,15750
928,15725
513,15725
923,15675
909,15675
679,15675
570,15650
438,15650
227,15650
2166,15625
2056,15625
292,15600
247,15600
790,15575
784,15575
541,15575
380,15575
286,15575
272,15575
266,15575
199,15575
1118,15550
627,15525
50,15525
6,15525
2023,15500
1187,15500
947,15500
401,15500
681,15475
598,15475
402,15475
60,15475
2048,15450
1196,15450
895,15450
562,15450
1071,15425
1001,15425
1029,15400
584,15375
487,15375
448,15375
313,15375
698,15350
642,15350
127,15325
913,15300
701,15300
150,15300
1022,15275
2026,15250
757,15250
239,15250
229,15225
146,15225
52,15225
950,15200
719,15200
688,15200
632,15200
128,15200
1211,15175
269,15150
268,15150
1122,15125
231,15125
193,15125
787,15100
1207,15050
1078,15050
684,15050
1206,15025
594,15025
2202,15000
1086,15000
333,15000
255,15000
644,14975
132,14975
954,14950
648,14950
54,14950
724,14900
96,14900
1174,14875
1103,14850
548,14850
374,14850
281,14850
2165,14825
968,14825
1048,14800
611,14775
746,14750
430,14750
554,14725
404,14725
2124,14700
618,14700
410,14675
885,14650
2073,14625
975,14625
2070,14600
622,14600
249,14600
109,14600
2,14600
1120,14550
1138,14525
1129,14525
665,14525
278,14500
948,14475
371,14475
18,14400
1116,14375
741,14375
376,14375
275,14375
1224,14350
346,14350
15,14350
439,14325
184,14325
116,14325
110,14325
1119,14300
704,14300
677,14300
149,14300
87,14300
736,14250
532,14250
1191,14225
1109,14225
1060,14225
466,14225
1146,14200
1094,14200
958,14200
357,14200
324,14200
512,14175
1115,14150
2038,14125
156,14125
745,14100
728,14100
720,14100
283,14100
2193,14075
1148,14075
906,14075
287,14075
16,14075
1141,14025
431,14025
158,14025
74,14025
1012,14000
867,14000
1151,13975
762,13975
88,13975
861,13950
2059,13925
1131,13925
886,13925
2177,13900
839,13900
652,13900
742,13875
57,13875
161,13850
1176,13825
1127,13825
1055,13825
343,13825
1064,13800
416,13800
256,13800
475,13775
461,13775
130,13775
114,13775
992,13750
588,13750
82,13750
766,13725
45,13725
119,13700
908,13675
145,13675
2045,13650
669,13625
664,13625
599,13625
840,13600
824,13600
758,13600
729,13600
433,13600
2071,13575
1190,13575
858,13575
572,13575
244,13575
133,13575
806,13525
2176,13500
972,13500
580,13500
522,13500
646,13475
373,13475
319,13475
2182,13450
1089,13450
643,13450
593,13450
354,13450
61,13450
571,13425
905,13400
833,13400
185,13400
621,13375
955,13350
2110,13325
1007,13325
1234,13300
935,13300
901,13300
734,13300
695,13300
420,13300
2144,13275
1201,13275
938,13275
205,13275
2104,13250
2060,13250
985,13250
427,13250
382,13250
250,13250
533,13225
804,13200
675,13200
304,13200
1227,13195
432,13175
390,13175
148,13175
994,13150
2133,13125
332,13125
641,13100
914,13075
591,13075
271,13075
752,13050
628,13050
453,13050
2114,13025
2078,13025
1139,13025
707,13025
298,13000
237,13000
137,13000
1183,12975
990,12975
1016,12950
41,12950
8,12925
20,12900
2094,12875
1030,12875
604,12875
1147,12850
1112,12850
1004,12850
377,12850
685,12825
680,12825
574,12825
162,12825
1015,12800
2129,12775
922,12775
712,12775
294,12775
1104,12750
2064,12725
1200,12725
1028,12700
692,12700
452,12700
307,12700
651,12675
635,12675
222,12675
29,12675
1215,12650
117,12650
2138,12625
755,12625
220,12625
175,12625
94,12625
363,12600
2192,12575
1186,12575
961,12575
1180,12550
17,12550
2027,12525
843,12525
1105,12500
829,12500
470,12500
904,12475
877,12475
773,12475
386,12475
115,12475
68,12450
2201,12425
1009,12425
488,12425
921,12375
607,12375
582,12375
774,12350
537,12350
549,12325
497,12325
188,12325
1156,12300
223,12300
831,12275
2135,12250
56,12250
1039,12225
655,12200
243,12200
1076,12175
484,12175
437,12175
1037,12150
285,12100
1193,12075
421,12075
217,12075
126,12075
1082,12050
1231,12040
482,12025
473,12025
293,12025
253,12025
847,11975
2098,11950
1099,11925
687,11925
1192,11900
124,11900
1077,11875
991,11875
411,11850
601,11825
444,11825
508,11800
396,11775
103,11775
937,11750
493,11750
105,11750
751,11625
525,11625
897,11600
425,11600
464,11575
481,11550
321,11550
976,11525
674,11525
1090,11500
782,11500
206,11500
693,11475
36,11475
718,11450
547,11450
489,11450
4,11450
1159,11425
385,11400
2155,11375
2020,11325
640,11325
62,11325
2039,11300
1210,11300
2085,11275
320,11275
614,11250
494,11250
417,11250
1066,11225
1051,11225
656,11225
23,11225
951,11200
569,11200
467,11200
1153,11175
2095,11150
977,11125
849,11125
251,11125
248,11125
118,11125
965,11100
603,11100
182,11075
11,11075
1084,11025
388,11000
1041,10975
111,10975
83,10975
2164,10950
1218,10950
2004,10925
12,10925
2035,10900
805,10900
152,10900
1223,10875
1135,10875
880,10875
2029,10850
1062,10850
1235,10800
714,10800
282,10800
46,10800
178,10750
58,10750
1161,10725
339,10725
335,10725
37,10725
1101,10675
1045,10675
306,10675
447,10650
2102,10600
1061,10600
952,10575
624,10575
95,10575
564,10550
496,10550
989,10475
966,10475
89,10475
34,10475
9,10475
331,10375
740,10350
738,10350
370,10350
959,10325
1098,10300
1096,10300
801,10275
1204,10250
1128,10225
932,10225
616,10225
352,10225
863,10200
2036,10175
246,10150
113,10150
1017,10125
1008,10125
871,10075
28,10075
1044,10050
495,10050
434,10050
214,10025
2002,10000
305,10000
1106,9975
264,9975
102,9925
2024,9875
200,9850
170,9850
112,9775
706,9750
159,9750
617,9725
350,9725
187,9725
615,9700
81,9650
942,9600
713,9600
1006,9550
395,9525
893,9500
107,9500
1219,9475
77,9450
523,9400
140,9400
261,9375
579,9350
215,9325
257,9300
505,9275
93,9275
711,9200
412,9200
97,9200
770,9175
750,9125
1032,9075
310,9075
270,9075
917,9025
776,9025
1202,9000
309,8975
1095,8925
1088,8875
207,8850
974,8825
44,8800
996,8775
545,8725
1065,8700
658,8675
479,8675
14,8675
945,8650
517,8625
3,8600
241,8475
142,8475
414,8425
647,8400
459,8400
788,8375
230,8375
1162,8350
504,8300
946,8250
358,8250
75,8250
69,8250
1,8200
919,8175
1070,8150
413,8125
2046,8100
2189,8050
1169,8050
498,8050
463,8050
1056,8025
1054,8025
845,8000
783,7975
398,7925
866,7900
2128,7850
2146,7825
240,7825
197,7825
49,7825
821,7800
625,7800
1125,7775
608,7775
120,7775
803,7750
1124,7725
1023,7700
940,7700
468,7650
419,7650
1018,7600
134,7600
55,7600
567,7575
676,7550
575,7525
558,7500
1080,7475
436,7475
406,7475
2087,7400
705,7400
957,7250
70,7225
224,7200
2082,7125
661,7100
1040,7075
2173,7025
995,7025
717,7025
900,6975
1216,6950
1059,6850
902,6850
451,6825
273,6825
169,6825
2077,6800
666,6725
623,6700
2065,6600
581,6600
566,6550
1079,6500
1036,6475
987,6475
26,6475
875,6450
772,6450
765,6400
899,6350
639,6225
583,6225
709,6200
213,6200
637,6175
768,6150
815,6100
393,6050
1123,6025
73,6000
864,5875
1160,5825
602,5825
441,5825
15522,5800
503,5800
429,5800
15016,5775
344,5725
1230,5670
2057,5625
668,5550
301,5550
896,5500
2074,5450
180,5350
798,5225
198,5100
852,5050
314,5025
108,5000
870,4975
1027,4950
2084,4900
449,4725
538,4600
1233,4550
1102,4550
633,4450
465,4400
535,4325
953,4300
99,4275
753,4225
1149,3975
850,3875
851,3825
325,3575
19,3475
507,3400
1167,3375
700,3175
440,3125
721,3100
1222,3075
408,3025
1226,3010
827,3000
392,2800
645,2725
723,2700
418,2575
359,2375
1232,2345
1002,2150
129,2150
474,2000
980,1925
30,1650
943,1200
931,1175
1175,700
1143,550
536,475
835,400
927,250
15514,25
911,25
799,25
