Bus,Hora,Autobuses por Hora
1,01,14
1,05,10
1,06,41
1,09,32
1,10,53
1,14,23
1,15,43
1,16,83
1,17,4
1,18,24
1,19,9
1,23,5
2,05,3
2,06,39
2,07,42
2,08,55
2,09,59
2,10,97
2,11,20
2,12,28
2,13,4
2,16,99
2,17,63
2,18,10
2,19,35
2,20,8
2,21,43
2,22,38
3,10,22
3,11,74
3,12,2
3,16,21
3,17,87
3,18,59
3,19,54
3,20,5
3,22,30
3,23,29
4,05,54
4,06,27
4,07,52
4,08,6
4,09,56
4,10,56
4,12,26
4,13,46
4,14,21
4,15,49
4,16,61
4,17,1
4,18,35
4,19,26
5,02,1
5,03,8
5,04,49
5,05,70
5,06,93
5,07,27
5,08,46
5,09,70
5,10,64
5,13,30
5,14,25
5,15,41
5,16,78
5,17,88
5,18,29
5,19,56
5,20,41
5,21,64
5,22,28
5,23,31
6,03,6
6,04,63
6,05,104
6,06,183
6,07,21
6,08,92
6,09,80
6,10,7
6,16,48
6,17,38
6,18,22
6,19,5
6,20,12
7,03,4
7,04,12
7,05,111
7,06,93
7,07,118
7,08,83
7,09,123
7,10,155
7,11,22
7,13,65
7,14,24
7,15,90
7,16,22
7,17,27
7,18,53
7,19,108
8,05,47
8,06,64
8,07,113
8,08,14
8,09,64
8,10,52
8,11,25
8,12,16
8,14,18
8,15,69
8,16,29
8,17,10
8,18,64
8,19,29
9,04,12
9,06,22
9,07,6
9,08,38
9,09,61
9,10,1
9,12,31
9,13,61
9,14,39
9,15,25
9,16,12
9,18,45
9,19,42
9,20,3
9,21,40
9,22,16
10,05,95
10,06,61
10,07,217
10,08,48
10,12,36
10,13,31
10,14,65
10,15,66
10,16,16
10,17,4
10,18,10
10,19,22
10,20,4
11,05,14
11,06,47
11,07,67
11,08,96
11,09,59
11,10,70
11,11,77
11,12,7
12,01,6
12,02,5
12,05,23
12,06,5
12,08,35
12,11,28
12,12,7
12,13,21
12,14,46
12,15,30
12,16,58
12,17,66
12,18,7
12,19,8
12,23,14
13,04,85
13,05,45
13,06,30
13,07,97
13,08,33
13,09,13
13,10,42
13,11,68
13,12,8
13,13,46
13,14,31
13,15,79
13,16,36
13,17,34
13,18,6
13,21,3
14,06,47
14,07,4
14,12,97
14,13,40
14,14,33
14,15,65
14,16,26
14,17,1
14,18,16
14,19,9
15,03,2
15,04,52
15,05,61
15,06,85
15,07,40
15,08,41
15,09,84
15,10,6
15,11,37
15,12,49
15,13,14
15,15,18
15,16,15
15,17,20
16,04,104
16,05,58
16,06,61
16,07,78
16,08,46
16,09,32
16,10,27
16,12,24
16,13,11
16,14,92
16,16,13
16,17,16
17,01,1
17,05,14
17,06,25
17,07,19
17,08,41
17,09,6
17,10,52
17,11,42
17,12,17
17,13,10
17,14,70
17,15,71
17,16,16
17,17,21
17,18,57
17,19,16
17,20,3
17,21,17
17,22,78
18,01,1
18,02,15
18,05,10
18,06,143
18,07,50
18,08,41
18,13,41
18,14,11
18,15,21
18,16,32
18,17,96
18,18,86
18,19,47
18,20,23
18,22,20
18,23,17
19,17,3
19,18,13
19,19,2
19,22,30
20,04,24
20,05,63
20,06,42
20,07,76
20,08,41
20,09,26
20,10,63
20,11,5
20,15,70
20,16,50
20,17,53
20,18,41
21,03,9
21,04,12
21,05,26
21,06,69
21,07,70
21,08,15
21,09,48
21,10,115
21,11,71
21,12,30
21,14,76
21,15,20
21,16,22
21,18,18
21,19,10
21,20,1
22,03,17
22,04,95
22,05,91
22,06,68
22,07,44
22,08,42
22,09,84
22,10,76
22,11,16
22,12,22
22,13,12
22,16,28
22,18,15
22,19,33
22,20,16
23,04,16
23,05,91
23,06,67
23,07,8
23,08,25
23,09,16
23,10,49
23,11,54
23,12,22
23,13,52
23,14,25
23,15,7
23,16,47
23,17,3
23,19,12
24,04,29
24,05,32
24,06,110
24,07,106
24,08,85
24,09,7
24,10,51
24,11,25
24,12,25
24,13,8
24,14,31
24,15,41
24,16,48
24,17,98
24,18,110
24,20,52
24,21,2
25,01,9
25,03,28
25,04,54
25,05,71
25,06,64
25,07,131
25,08,27
25,09,91
25,10,112
25,11,55
25,12,39
25,13,23
25,14,24
25,15,23
25,16,111
25,17,20
25,18,8
26,07,9
26,08,9
26,11,66
26,12,42
26,13,35
26,14,11
26,15,32
26,16,16
26,17,39
26,18,12
26,19,8
26,20,32
27,04,41
27,05,89
27,06,42
27,07,81
27,08,11
27,09,30
27,10,58
27,11,83
27,12,51
27,13,86
27,14,28
27,15,23
27,17,11
27,18,5
27,19,68
27,21,7
27,22,5
28,05,20
28,06,2
28,07,54
28,08,20
28,09,8
28,10,77
28,11,32
28,17,32
28,18,53
28,19,55
29,05,67
29,06,164
29,07,8
29,08,62
29,09,36
29,11,42
29,13,32
29,15,30
29,16,64
29,17,37
29,18,45
29,19,4
30,01,1
30,08,20
30,09,44
30,10,1
30,11,5
31,05,2
31,06,47
31,07,63
31,08,25
31,09,61
31,10,13
31,12,61
31,13,76
31,14,14
31,15,45
31,16,15
31,17,50
31,18,15
31,19,5
31,20,60
34,04,36
34,05,62
34,06,118
34,07,57
34,08,18
34,09,15
34,10,16
34,13,56
34,17,24
34,18,36
34,19,19
34,20,18
35,04,77
35,05,73
35,06,66
35,07,113
35,08,37
35,09,43
35,10,47
35,12,37
35,15,24
35,17,54
35,18,74
35,19,17
35,20,15
35,21,46
36,02,24
36,05,44
36,06,33
36,07,8
36,08,30
36,09,9
36,10,9
36,11,26
36,12,36
36,13,33
36,14,22
36,16,74
36,17,51
36,19,60
36,20,29
36,21,17
36,22,6
36,23,9
37,05,8
37,06,117
37,07,88
37,08,21
37,09,4
37,10,79
37,11,17
37,12,11
37,13,23
37,14,32
37,16,26
37,17,96
37,18,23
39,03,8
39,05,46
39,06,132
39,07,77
39,08,85
39,09,111
39,10,109
39,11,43
39,12,100
39,14,20
39,15,56
39,16,41
39,17,2
39,18,16
39,19,9
40,06,59
40,07,42
40,08,33
40,09,23
40,10,65
40,11,114
40,12,3
40,14,12
40,15,51
40,16,47
40,17,92
40,18,79
41,07,34
41,08,74
