Hora,Ingresos
00:00,1793
00:15,1195
00:30,1002
00:45,827
01:00,817
01:15,614
01:30,506
01:45,424
02:00,384
02:15,366
02:30,372
02:45,427
03:00,375
03:15,524
03:30,909
03:45,1862
04:00,3389
04:15,4988
04:30,6713
04:45,8208
05:00,11382
05:15,12938
05:30,14909
05:45,16079
06:00,18308
06:15,20137
06:30,19798
06:45,19413
07:00,19319
07:15,18870
07:30,17746
07:45,15342
08:00,14095
08:15,12578
08:30,12649
08:45,11768
09:00,12383
09:15,12231
09:30,12579
09:45,12019
10:00,12128
10:15,12576
10:30,12352
10:45,11084
11:00,8105
11:15,6881
11:30,6616
11:45,6848
12:00,7071
12:15,6839
12:30,6834
12:45,6712
13:00,6693
13:15,6818
13:30,6774
13:45,6723
14:00,6848
14:15,6885
14:30,7090
14:45,7408
15:00,7943
15:15,8978
15:30,8831
15:45,9088
16:00,9749
16:15,9767
16:30,10287
16:45,10028
17:00,10900
17:15,10239
17:30,9839
17:45,9018
18:00,9541
18:15,9437
18:30,8455
18:45,7700
19:00,7475
19:15,7024
19:30,6244
19:45,5686
20:00,5619
20:15,5118
20:30,4495
20:45,3877
21:00,4363
21:15,3966
21:30,3378
21:45,3214
22:00,3149
22:15,3134
22:30,2359
22:45,1965
23:00,1981
23:15,1761
23:30,1429
23:45,1481
